time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
8.82000000,-1.55395136,1.49099618,-63.60575834,-0.63996771,0.93996750,-0.48310860,17.59839554,-9.31324060,0.00000000,-20.98308191,0.37243737,6.68798180,-10.39658615,0.00000000,-31.19532881,7.52663149,-5.00000214
8.82500000,-1.85588483,1.43104454,-63.57161216,-0.64185137,0.94036355,-0.48010814,17.35810602,-8.81125098,0.00000000,-20.68966339,0.48301199,7.19995706,-10.88825958,0.00000000,-32.10108685,7.00630548,-5.00000214
8.83000000,-1.90214858,1.31763377,-63.57225541,-0.64373588,0.94092444,-0.47737087,17.06295363,-8.54668353,0.00000000,-20.55218917,0.61403047,7.52025271,-11.11481925,0.00000000,-32.98861491,6.47729893,-5.00000214
8.83500000,-2.19475414,1.26010106,-63.52752379,-0.64551883,0.94152601,-0.47433879,16.72867941,-8.05172989,0.00000000,-20.10513613,0.68655476,8.05786618,-11.58033168,0.00000000,-33.91313976,5.75207469,-5.00000214
8.84000000,-2.41225670,1.16318735,-63.49167858,-0.64747705,0.94213408,-0.47144502,16.39090473,-7.60762263,0.00000000,-19.75980279,0.69589024,8.56271674,-11.96566924,0.00000000,-34.88537968,5.19688012,-5.00000214
8.84500000,-2.52291725,1.10613048,-63.45373000,-0.64935070,0.94266949,-0.46875429,16.03050173,-7.28017561,0.00000000,-19.37314544,0.86488881,9.08940970,-12.22278955,0.00000000,-35.89779880,4.47094445,-5.00000214
8.85000000,-2.53845789,1.02405939,-63.40142908,-0.65116360,0.94333909,-0.46601093,15.64242985,-7.06470348,0.00000000,-19.06647009,0.95327942,9.56790749,-12.39155518,0.00000000,-36.94213821,3.90687952,-5.00000214
8.85500000,-2.73836057,0.94386724,-63.35837436,-0.65306816,0.94397633,-0.46326928,15.25583008,-6.62937837,0.00000000,-18.60336758,1.05005309,10.16447833,-12.73639709,0.00000000,-37.97848459,3.08121594,-5.00000214
8.86000000,-2.95732391,0.90189182,-63.27765899,-0.65494973,0.94455285,-0.46058641,14.91040299,-6.21102776,0.00000000,-18.10701819,1.01298466,10.86818149,-13.09246933,0.00000000,-39.06253733,2.21125625,-5.00000214
8.86500000,-3.01875841,0.81372506,-63.18988390,-0.65676590,0.94517746,-0.45813908,14.49902397,-5.94633739,0.00000000,-17.68433298,1.15568304,11.46722454,-13.27777914,0.00000000,-40.16662712,1.47204118,-5.00000214
8.87000000,-3.20275050,0.80153197,-63.10287985,-0.65842296,0.94572568,-0.45509753,14.14413457,-5.58378654,0.00000000,-17.21456070,1.15710040,12.16013731,-13.55285325,0.00000000,-41.23749407,0.48319034,-5.00000214
8.87500000,-3.31893453,0.72778677,-62.98386014,-0.66030275,0.94622847,-0.45222200,13.75899334,-5.25318550,0.00000000,-16.82489533,1.17166630,12.78496605,-13.81469396,0.00000000,-42.27580520,-0.33189564,-5.00000214
8.88000000,-3.34092760,0.64301046,-62.89333231,-0.66192796,0.94684783,-0.44972874,13.37829052,-5.03245248,0.00000000,-16.49571016,1.22796025,13.36313726,-13.92496583,0.00000000,-43.34140475,-0.89353071,-5.00000214
8.88500000,-3.47893441,0.58358451,-62.76001460,-0.66385059,0.94752811,-0.44700858,13.00849736,-4.68876993,0.00000000,-16.04984230,1.12309381,14.03061046,-14.19179202,0.00000000,-44.33332906,-1.77191813,-5.00000214
8.89000000,-3.51448637,0.53210688,-62.59899793,-0.66529797,0.94807298,-0.44435328,12.59652202,-4.48040081,0.00000000,-15.62630231,1.21539953,14.65716196,-14.29491838,0.00000000,-45.37346628,-2.23611511,-5.00000214
8.89500000,-3.54845046,0.42990562,-62.43443123,-0.66675008,0.94861972,-0.44184152,12.15576635,-4.25095466,0.00000000,-15.22431511,1.22556831,15.25432807,-14.40543126,0.00000000,-46.41952428,-2.77790888,-5.00000214
8.90000000,-3.58305928,0.37290400,-62.25765756,-0.66822782,0.94917104,-0.43933213,11.79044024,-4.04481670,0.00000000,-14.90943665,1.29209534,15.87294313,-14.48225546,0.00000000,-47.39339737,-3.01570554,-5.00000214
8.90500000,-3.64095245,0.27402064,-62.05970656,-0.66972523,0.94965558,-0.43684549,11.36904578,-3.79215506,0.00000000,-14.51038614,1.31580244,16.48609132,-14.58751522,0.00000000,-48.39640906,-3.28862896,-5.00000214
8.91000000,-3.68368553,0.15042401,-61.96292590,-0.67107316,0.95029184,-0.43478782,11.00981338,-3.55844925,0.00000000,-14.21322554,1.29618826,17.00642850,-14.65005020,0.00000000,-49.26997087,-3.50406774,-5.00000214
8.91500000,-3.69652616,0.09643355,-61.71231669,-0.67250526,0.95061694,-0.43184581,10.56181209,-3.35908359,0.00000000,-13.81980537,1.41362893,17.56887426,-14.69508648,0.00000000,-50.11155116,-3.63081649,-5.00000214
8.92000000,-3.70918153,-0.11415365,-61.58188842,-0.67392968,0.95123821,-0.42999456,10.12344851,-3.10759985,0.00000000,-13.53358682,1.40640077,17.99302523,-14.73639287,0.00000000,-50.94967920,-3.61657050,-5.00000214
8.92500000,-3.73127131,-0.45347804,-61.34647125,-0.67505457,0.95205338,-0.42744250,9.36782952,-2.77744803,0.00000000,-12.98951365,1.26470275,18.23297314,-14.85245033,0.00000000,-51.63648918,-3.45218258,-5.00000214
8.93000000,-3.74589357,-0.46815570,-61.17661269,-0.67623705,0.95251638,-0.42500959,9.05535535,-2.61413734,0.00000000,-12.67832344,1.32274872,18.73075395,-14.75560794,0.00000000,-52.25468832,-3.44658899,-5.00000214
8.93500000,-3.75837024,-0.53849907,-60.98622958,-0.67725798,0.95301906,-0.42257127,8.64504588,-2.43395887,0.00000000,-12.29352261,1.31333744,19.14406115,-14.64553041,0.00000000,-52.77498868,-3.24534030,-5.00000214
8.94000000,-3.76146087,-0.57095266,-60.82350751,-0.67831093,0.95350098,-0.42031009,8.32908890,-2.28398756,0.00000000,-12.00146282,1.32552531,19.58831328,-14.47182447,0.00000000,-53.26553624,-3.10013365,-5.00000214
8.94500000,-3.77353150,-0.60488877,-60.65111519,-0.67908808,0.95390348,-0.41809747,7.96923456,-2.13930591,0.00000000,-11.62371324,1.35628053,19.97484166,-14.25062302,0.00000000,-53.64100074,-2.91359177,-5.00000214
8.95000000,-3.77748831,-0.63978393,-60.44772803,-0.67990140,0.95431049,-0.41604055,7.63346001,-2.00596911,0.00000000,-11.29381289,1.34849915,20.41662783,-14.01270201,0.00000000,-54.05734358,-2.71309742,-5.00000214
