time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
8.82000000,-2.76495613,-0.86551167,30.08699282,0.08878192,0.94409423,-0.75133769,17.54722067,-10.43152558,0.00000000,-19.86410536,-1.78862102,10.11933717,-10.00593426,0.00000000,-31.88150464,2.67119203,-5.00000214
8.82500000,-2.69579706,-1.10194421,30.10834020,0.09166039,0.94437743,-0.74940995,17.37299481,-9.98717475,0.00000000,-19.70239530,-1.67063732,10.63893163,-10.43032379,0.00000000,-32.79259695,2.14613675,-5.00000214
8.83000000,-2.60506207,-1.29585383,30.10441863,0.09452400,0.94477941,-0.74748461,17.13017717,-9.57282697,0.00000000,-19.47338865,-1.47715201,11.05489684,-10.80350434,0.00000000,-33.61159986,1.48904748,-5.00000214
8.83500000,-2.54353085,-1.52505246,30.11576728,0.09733525,0.94519568,-0.74562927,16.90599915,-9.13778020,0.00000000,-19.19321516,-1.50452726,11.62301731,-11.19753343,0.00000000,-34.59136052,0.89415488,-5.00000214
8.84000000,-2.45942051,-1.77439525,30.12432474,0.10019352,0.94562915,-0.74363685,16.65851722,-8.66105206,0.00000000,-18.90803226,-1.42507138,12.17362808,-11.60255919,0.00000000,-35.53701568,0.32315683,-5.00000214
8.84500000,-2.39501440,-1.82004442,30.15081262,0.10278180,0.94607007,-0.74174151,16.33218817,-8.38700426,0.00000000,-18.61449041,-1.18810565,12.65877960,-11.79172467,0.00000000,-36.50141449,-0.34598386,-5.00000214
8.85000000,-2.36643827,-2.16603471,30.17858890,0.10566945,0.94640290,-0.73976526,16.12764195,-7.85289535,0.00000000,-18.20430370,-1.20747376,13.40353509,-12.27920318,0.00000000,-37.55491229,-1.05802430,-5.00000214
8.85500000,-2.28047463,-2.29641610,30.18487446,0.10826569,0.94689901,-0.73787300,15.81490479,-7.48239082,0.00000000,-17.88161498,-1.08069955,13.96369102,-12.54165682,0.00000000,-38.56449636,-1.79678283,-5.00000214
8.86000000,-2.23748481,-2.47574779,30.25587299,0.11079009,0.94725092,-0.73590649,15.55408569,-7.10179661,0.00000000,-17.53440518,-0.97342143,14.69456146,-12.84535417,0.00000000,-39.67289732,-2.59753441,-5.00000214
8.86500000,-2.16386389,-2.59925917,30.31663976,0.11315680,0.94768918,-0.73400578,15.25619165,-6.77083201,0.00000000,-17.18262674,-0.85182174,15.34833631,-13.07886667,0.00000000,-40.74885259,-3.33162237,-5.00000214
8.87000000,-2.17793021,-2.84742367,30.36375500,0.11614140,0.94797327,-0.73228126,15.04080344,-6.35797009,0.00000000,-16.81424898,-0.80928607,16.11328129,-13.39588827,0.00000000,-41.81536978,-4.24431571,-5.00000214
8.87500000,-2.11832965,-3.01845836,30.46223608,0.11895871,0.94824096,-0.73032805,14.76350030,-5.97316307,0.00000000,-16.50409092,-0.74255833,16.80338989,-13.69921499,0.00000000,-42.84970412,-5.00171958,-5.00000214
8.88000000,-2.04552600,-3.11822209,30.53473140,0.12147169,0.94869189,-0.72862736,14.45198127,-5.66983246,0.00000000,-16.17947371,-0.66462295,17.44259627,-13.88268197,0.00000000,-43.89152263,-5.65349024,-5.00000214
8.88500000,-2.00056823,-3.27248154,30.62966162,0.12404964,0.94912685,-0.72663990,14.21614458,-5.31595713,0.00000000,-15.88464635,-0.68161198,18.14196393,-14.13924805,0.00000000,-44.88205845,-6.35627269,-5.00000214
8.89000000,-1.97456770,-3.33932054,30.76078350,0.12662861,0.94949711,-0.72510040,13.91574000,-5.08225760,0.00000000,-15.55069021,-0.60432576,18.81225788,-14.24702272,0.00000000,-45.90738813,-6.81876856,-5.00000214
8.89500000,-1.91219808,-3.40164697,30.89628951,0.12906484,0.94980583,-0.72357058,13.60391226,-4.83883820,0.00000000,-15.25891212,-0.49208619,19.46346427,-14.35433577,0.00000000,-46.95131242,-7.29588181,-5.00000214
8.90000000,-1.85667463,-3.47547324,31.02919900,0.13150855,0.95022664,-0.72199817,13.30684507,-4.58540725,0.00000000,-14.97596872,-0.44273013,20.10928470,-14.45467904,0.00000000,-47.92415554,-7.56924799,-5.00000214
8.90500000,-1.77270353,-3.54535565,31.20887096,0.13391775,0.95054408,-0.72046291,12.98739231,-4.32482281,0.00000000,-14.69721995,-0.38969872,20.73732339,-14.54914834,0.00000000,-48.91245317,-7.77343546,-5.00000214
8.91000000,-1.69634130,-3.61069703,31.27520578,0.13590561,0.95100390,-0.71906750,12.74343236,-4.08843275,0.00000000,-14.46616247,-0.38644811,21.30454703,-14.59396057,0.00000000,-49.77712069,-7.91805215,-5.00000214
