time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
0.00000000,-3.34426324,0.69312954,87.52270184,0.58515512,0.95343573,-0.67598376,1.86863469,-4.40483576,0.00000000,-3.48564801,1.79760676,0.02537859,2.12824738,0.00000000,0.65468951,-4.70453260,-5.00000214
0.00500000,-3.37189131,0.75246531,87.51605942,0.58521771,0.95356023,-0.67612256,1.83048986,-4.43531077,0.00000000,-3.56850676,1.95130362,-0.13588248,2.16413173,0.00000000,0.83992721,-4.82666373,-5.00000214
0.01000000,-3.31965807,0.73680663,87.52487633,0.58520870,0.95352452,-0.67614729,1.78889452,-4.38065212,0.00000000,-3.44365302,1.73988731,-0.06600746,2.10450087,0.00000000,0.71624784,-4.65588890,-5.00000214
0.01500000,-3.32731705,0.76299220,87.62230783,0.58479550,0.95354014,-0.67593765,1.73173992,-4.41698936,0.00000000,-3.38398525,1.64937293,-0.02169570,2.13665251,0.00000000,0.61953079,-4.60631130,-5.00000214
0.02000000,-3.34824212,0.76020667,87.55485318,0.58507471,0.95348999,-0.67604595,1.82231781,-4.41813931,0.00000000,-3.57067931,1.94147269,-0.11391383,2.13566148,0.00000000,0.80632149,-4.80241045,-5.00000214
0.02500000,-3.32689918,0.72695317,87.51656544,0.58502513,0.95346982,-0.67610806,1.81213215,-4.39629104,0.00000000,-3.45626030,1.77714937,-0.05648833,2.10767684,0.00000000,0.73008244,-4.69735088,-5.00000214
0.03000000,-3.34642392,0.81971331,87.59895109,0.58481511,0.95362721,-0.67583696,1.72908458,-4.43437736,0.00000000,-3.49352813,1.76570744,-0.12596339,2.15406007,0.00000000,0.72233018,-4.69237226,-5.00000214
0.03500000,-3.33113125,0.78418183,87.56136933,0.58483547,0.95364499,-0.67607106,1.72712507,-4.42097218,0.00000000,-3.42617511,1.69968785,-0.11394088,2.15051381,0.00000000,0.72889301,-4.57997617,-5.00000214
0.04000000,-3.31361269,0.72831234,87.58576166,0.58458878,0.95353895,-0.67606968,1.74940687,-4.41893793,0.00000000,-3.34281192,1.56163204,-0.00349359,2.13552592,0.00000000,0.63036823,-4.47708137,-5.00000214
0.04500000,-3.40954003,0.66480190,87.52292908,0.58454284,0.95330733,-0.67588758,2.01410596,-4.52631639,0.00000000,-3.70751423,1.99939142,-0.00655235,2.23768303,0.00000000,0.83111813,-4.76008660,-5.00000214
0.05000000,-3.37623598,0.63423305,87.52297210,0.58453818,0.95329521,-0.67588613,1.99563283,-4.48173872,0.00000000,-3.58450695,1.79859578,0.07921812,2.18620513,0.00000000,0.71014363,-4.61726157,-5.00000214
0.05500000,-3.35349112,0.63320131,87.52901701,0.58458968,0.95332543,-0.67600916,1.96793077,-4.44903345,0.00000000,-3.54953563,1.76240636,0.08076548,2.14190567,0.00000000,0.68172798,-4.61014944,-5.00000214
0.06000000,-3.38169395,0.65443468,87.55253981,0.58466137,0.95333302,-0.67606647,1.94318767,-4.47854111,0.00000000,-3.57983799,1.87341300,-0.00706829,2.19575308,0.00000000,0.80530129,-4.72713199,-5.00000214
0.06500000,-3.34013768,0.69621035,87.55955962,0.58462247,0.95340066,-0.67607471,1.87569718,-4.44077373,0.00000000,-3.54253024,1.83293230,-0.06010755,2.16402820,0.00000000,0.80512939,-4.67567041,-5.00000214
