Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
5.47,-0.99882409,3.59328361,94.08907089,0.62048228,0.96202578,-0.76279935,-4.75970796,0.34255472,-29.86393076,-8.82357898,14.85773593,0.67555477,0,-4.33784778,-4.01349937,-16.19647231,-6.09579529,9.78955609,7.43281449,0,0,0,0
5.475,-0.98874481,3.5616027,94.0639477,0.62108961,0.96189902,-0.76334405,-4.77375352,0.40999208,-29.74847643,-8.77800171,14.85974362,0.51742958,0,-4.29657179,-4.08746187,-16.41936369,-6.19032021,9.87626208,7.73973202,0,0,0,0
5.48,-0.98757929,3.54186386,94.02980638,0.62167689,0.96178172,-0.76389658,-4.78602137,0.44585553,-29.72144216,-8.77665101,14.91019444,0.52893097,0,-4.30635376,-4.12446215,-16.44142325,-6.21155653,9.92237203,7.72087981,0,0,0,0
5.485,-0.99209973,3.51560148,94.00084039,0.62227641,0.96165994,-0.7644678,-4.80164075,0.48191898,-29.70444754,-8.75608136,14.96064944,0.53671577,0,-4.30835212,-4.15664394,-16.46802423,-6.23530339,9.96681775,7.69960108,0,0,0,0
5.49,-0.98689162,3.49726307,93.96138654,0.62288934,0.9615412,-0.76503856,-4.82149369,0.52620852,-29.66638841,-8.7430974,15.01129016,0.55529439,0,-4.30704144,-4.20274278,-16.49303343,-6.28706094,10.02876862,7.67659191,0,0,0,0
5.495,-0.97806458,3.47837798,93.9164652,0.62352375,0.96142144,-0.76560277,-4.83768078,0.57402922,-29.62597315,-8.7334342,15.04473042,0.56754871,0,-4.30022383,-4.2551672,-16.52320983,-6.34942567,10.10872215,7.6670263,0,0,0,0
5.5,-0.98332434,3.45021342,93.8823874,0.62415123,0.96129521,-0.76620007,-4.85962591,0.61391872,-29.60273797,-8.69818186,15.09959804,0.57735206,0,-4.29003725,-4.29078003,-16.55397012,-6.3980139,10.15653416,7.64756562,0,0,0,0
5.505,-0.97528136,3.43241107,93.83251471,0.6248031,0.96117262,-0.76679586,-4.88543004,0.6649366,-29.55322991,-8.67477345,15.15110477,0.60234518,0,-4.27643746,-4.345158,-16.58412124,-6.48316337,10.23633392,7.62249545,0,0,0,0
5.51,-0.9680772,3.40972466,93.78234419,0.62546167,0.96104708,-0.76739989,-4.90898566,0.71618227,-29.51328305,-8.64549979,15.19616233,0.62121148,0,-4.25900246,-4.39807765,-16.61756988,-6.56506912,10.32209294,7.60105872,0,0,0,0
5.515,-0.94562253,3.3853064,93.72655873,0.62613834,0.96091321,-0.76800756,-4.92471234,0.78175439,-29.46531302,-8.62595343,15.22064431,0.63349561,0,-4.2302705,-4.47153837,-16.65717064,-6.6690533,10.43885421,7.60429912,0,0,0,0
5.52,-0.93461005,3.36080467,93.67324804,0.62682185,0.96078098,-0.76863235,-4.95210895,0.84088247,-29.41475039,-8.58614219,15.26584389,0.65054467,0,-4.19517418,-4.5353253,-16.69928617,-6.78668744,10.53252073,7.59945367,0,0,0,0
5.525,-0.92180219,3.33711548,93.61642344,0.62751712,0.96064754,-0.76926733,-4.9817987,0.90258838,-29.36617713,-8.54401695,15.30848588,0.67109989,0,-4.15858892,-4.6013265,-16.73714261,-6.91119716,10.63357065,7.58722546,0,0,0,0
5.53,-0.89057704,3.28191909,93.57735674,0.62823557,0.9604828,-0.76989532,-4.98777566,0.99576831,-29.30997808,-8.47383837,15.32067343,0.63455921,0,-4.05410077,-4.70432516,-16.82878694,-7.09554522,10.75742367,7.70415773,0,0,0,0
5.535,-0.88411782,3.27547126,93.49865662,0.62895268,0.96035361,-0.77056503,-5.03664738,1.04763957,-29.2445322,-8.43616208,15.38221606,0.67525307,0,-4.03758621,-4.76151433,-16.86713711,-7.23012513,10.86742771,7.65132373,0,0,0,0
5.54,-0.86581043,3.26188191,93.42987641,0.62968866,0.96021584,-0.77123736,-5.08525664,1.11883053,-29.19477744,-8.380878,15.42684613,0.71406349,0,-3.99815907,-4.836843,-16.8863825,-7.390624,10.99151049,7.5985562,0,0,0,0
5.545,-0.84491352,3.24668089,93.36182328,0.63043265,0.96006943,-0.77191959,-5.13612069,1.19433837,-29.14630391,-8.31866375,15.46939643,0.754971,0,-3.94677546,-4.91803551,-16.8988862,-7.57246852,11.1222312,7.53884187,0,0,0,0
5.55,-0.82107309,3.23288389,93.29062539,0.6311831,0.95991983,-0.77260745,-5.189519,1.27335195,-29.09748173,-8.25452169,15.50975428,0.79795285,0,-3.88899927,-5.00338319,-16.90462898,-7.77153451,11.26141736,7.47170769,0,0,0,0
5.555,-0.79105517,3.22158355,93.21598247,0.63195007,0.95976117,-0.77331106,-5.24766942,1.36014715,-29.04468651,-8.18791521,15.54715081,0.84528112,0,-3.82251761,-5.0989482,-16.9014432,-7.9972045,11.41800825,7.39324296,0,0,0,0
5.56,-0.76469171,3.2138582,93.13792773,0.63271958,0.95960053,-0.77402631,-5.31281118,1.44314152,-28.99175691,-8.11771861,15.58925925,0.89383412,0,-3.75360132,-5.1912842,-16.89475019,-8.23693629,11.57358047,7.30349129,0,0,0,0
5.565,-0.71962496,3.20605278,93.06286984,0.63350326,0.95943445,-0.77473076,-5.37303844,1.54600275,-28.93696885,-8.05410629,15.60891112,0.94328132,0,-3.66781698,-5.30728405,-16.85219975,-8.50688539,11.75276357,7.20280293,0,0,0,0
5.57,-0.68523485,3.20434822,92.97837395,0.63429514,0.95926244,-0.7754604,-5.44635768,1.63866773,-28.87594348,-7.98164716,15.65058371,0.99618203,0,-3.58182484,-5.41247257,-16.81812032,-8.79742216,11.93289939,7.07434788,0,0,0,0
5.575,-0.64211083,3.18781021,92.9081999,0.63508857,0.95907055,-0.77618604,-5.51050621,1.7464127,-28.83015802,-7.89279822,15.67863204,1.03440693,0,-3.46419836,-5.52770433,-16.73446012,-9.11037042,12.11432061,6.89624509,0,0,0,0
5.58,-0.60021703,3.18517325,92.82273687,0.63588793,0.95888172,-0.77692542,-5.58390842,1.84741783,-28.76465708,-7.8201505,15.71582171,1.08087726,0,-3.35490474,-5.63887496,-16.62767494,-9.44360195,12.30831199,6.66532409,0,0,0,0
5.585,-0.56052976,3.21308438,92.71245754,0.63670349,0.95870635,-0.77766969,-5.68063089,1.93803587,-28.67750685,-7.76991765,15.77820228,1.15288083,0,-3.2736573,-5.75109119,-16.57016002,-9.79684408,12.52514175,6.48020326,0,0,0,0
5.59,-0.52364536,3.18061253,92.63054109,0.63749002,0.95847848,-0.77837446,-5.71552336,2.02956018,-28.60964137,-7.7077779,15.82176094,1.18084339,0,-3.11015677,-5.83932892,-16.29767403,-10.16056599,12.70243588,5.98907587,0,0,0,0
