time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
0.00000000,0.72649931,3.34892542,-2.50586429,-0.72398218,0.95347596,0.01015695,1.82573652,-4.41187626,0.00000000,-3.48076388,1.80361686,-0.02712811,2.13580904,0.00000000,0.69357733,-4.74075947,-5.00000214
0.00500000,0.75201357,3.35286494,-2.52015033,-0.72383106,0.95355278,0.01020275,1.77563057,-4.41717861,0.00000000,-3.45411412,1.84017673,-0.11408870,2.14552368,0.00000000,0.78137829,-4.69749600,-5.00000214
0.01000000,0.78645031,3.35488082,-2.53934110,-0.72383892,0.95355422,0.01024265,1.79121324,-4.42072964,0.00000000,-3.56332224,1.94959751,-0.18489978,2.14453053,0.00000000,0.86127907,-4.80334830,-5.00000214
0.01500000,0.79725354,3.35091849,-2.44532184,-0.72405326,0.95355769,0.00980882,1.73848011,-4.44376882,0.00000000,-3.47133308,1.79056340,-0.10338369,2.16525966,0.00000000,0.71960734,-4.72472502,-5.00000214
0.02000000,0.74764286,3.29856765,-2.47778036,-0.72394726,0.95351244,0.01006797,1.75644727,-4.36103134,0.00000000,-3.39591632,1.68479545,-0.03303394,2.08206280,0.00000000,0.65246757,-4.64018815,-5.00000214
0.02500000,0.75070030,3.36932186,-2.53175020,-0.72386555,0.95348824,0.01003233,1.84352317,-4.44452345,0.00000000,-3.58557866,1.95093743,-0.15600497,2.15586412,0.00000000,0.90254735,-4.90892676,-5.00000214
0.03000000,0.84716654,3.37109373,-2.49650628,-0.72416284,0.95365134,0.00987795,1.76372375,-4.46013835,0.00000000,-3.60905971,1.91549185,-0.21392671,2.17986891,0.00000000,0.85141085,-4.88332433,-5.00000214
0.03500000,0.75447752,3.34262191,-2.50981803,-0.72391195,0.95361751,0.00987292,1.77988778,-4.43017960,0.00000000,-3.45803861,1.73109898,-0.11320183,2.15827352,0.00000000,0.79099624,-4.66496937,-5.00000214
0.04000000,0.74318820,3.37988235,-2.50947485,-0.72393229,0.95349557,0.00964892,1.86196843,-4.49021225,0.00000000,-3.60353587,1.95665656,-0.11654729,2.20595056,0.00000000,0.84931203,-4.75055484,-5.00000214
0.04500000,0.72575188,3.36516225,-2.48602915,-0.72405672,0.95341718,0.00952642,1.84313589,-4.48016770,0.00000000,-3.49949911,1.77207046,-0.03538655,2.19199571,0.00000000,0.73973065,-4.59705808,-5.00000214
0.05000000,0.67978162,3.34419991,-2.46826236,-0.72407930,0.95337567,0.00948286,1.86312078,-4.45107343,0.00000000,-3.42958522,1.61408465,0.06453181,2.15554234,0.00000000,0.63483251,-4.49483541,-5.00000214
0.05500000,0.66489576,3.32979254,-2.44506878,-0.72397636,0.95338345,0.00952787,1.84759780,-4.42661452,0.00000000,-3.39260484,1.58375931,0.08787824,2.11908456,0.00000000,0.60454198,-4.51327940,-5.00000214
0.06000000,0.68847664,3.38291769,-2.51844302,-0.72386903,0.95338146,0.00971514,1.93813008,-4.48086527,0.00000000,-3.64666438,1.97070515,-0.11124299,2.19514677,0.00000000,0.94313924,-4.88970351,-5.00000214
0.06500000,0.66716585,3.33841935,-2.46281236,-0.72387168,0.95338591,0.00961808,1.88860265,-4.43636886,0.00000000,-3.51754652,1.80018130,-0.05181128,2.16009565,0.00000000,0.85694091,-4.73068238,-5.00000214
0.07000000,0.66034593,3.32151786,-2.44369861,-0.72383047,0.95339345,0.00949699,1.86286064,-4.42661584,0.00000000,-3.46472025,1.73025867,-0.01972064,2.15327022,0.00000000,0.80007231,-4.62175505,-5.00000214
0.07500000,0.65098939,3.30922694,-2.43503844,-0.72394008,0.95333688,0.00931197,1.85884364,-4.42217760,0.00000000,-3.39576056,1.57945146,0.07206565,2.14556601,0.00000000,0.65172957,-4.50859115,-5.00000214
0.08000000,0.60399980,3.28600439,-2.41348593,-0.72375553,0.95333472,0.00940222,1.86542902,-4.38439430,0.00000000,-3.33267528,1.49896012,0.12445821,2.10300195,0.00000000,0.61105979,-4.44266647,-5.00000214
0.08500000,0.64319297,3.30596007,-2.39893416,-0.72384875,0.95338433,0.00928341,1.82126625,-4.41697651,0.00000000,-3.32506489,1.51507466,0.09358689,2.13515934,0.00000000,0.60562707,-4.40716938,-5.00000214
0.09000000,0.66426109,3.35511667,-2.46934764,-0.72369888,0.95344881,0.00944069,1.85954257,-4.46601610,0.00000000,-3.45933742,1.77912720,-0.06789153,2.18835363,0.00000000,0.85712917,-4.54750280,-5.00000214
0.09500000,0.66381907,3.29324386,-2.46091001,-0.72366627,0.95346896,0.00944820,1.83229910,-4.39937719,0.00000000,-3.41318296,1.65230367,-0.01162940,2.12007463,0.00000000,0.73341664,-4.49526820,-5.00000214
0.10000000,0.65208794,3.28697269,-2.42633125,-0.72364463,0.95344651,0.00936398,1.83098755,-4.39636186,0.00000000,-3.39036972,1.58540312,0.03441649,2.11478414,0.00000000,0.67419381,-4.45014779,-5.00000214
0.10500000,0.67078943,3.39394981,-2.50237809,-0.72368831,0.95329925,0.00925077,2.00539987,-4.52481362,0.00000000,-3.76574698,2.07468462,-0.08447211,2.23462710,0.00000000,0.91897273,-4.79777865,-5.00000214
0.11000000,0.04954520,3.38798537,-2.31933678,-0.72366684,0.95292002,0.00990385,2.62657826,-4.42021716,0.00000000,-3.72231879,1.84769781,0.71648792,2.12907764,0.00000000,0.69812054,-4.90120361,-5.00000214
0.11500000,0.68029984,3.41555120,-2.51297255,-0.72374154,0.95337841,0.00919492,2.02959225,-4.55060257,0.00000000,-3.82354579,2.09312627,-0.06962077,2.25846495,0.00000000,0.86983009,-4.69974435,-5.00000214
0.12000000,0.59844054,3.37957321,-2.48392850,-0.72365461,0.95329217,0.00915770,2.03678386,-4.51174486,0.00000000,-3.66739879,1.89375829,0.05313689,2.23402407,0.00000000,0.75643544,-4.53664601,-5.00000214
0.12500000,0.17539665,3.36839088,-2.33144001,-0.72352555,0.95319248,0.01002297,2.48122477,-4.40021957,0.00000000,-3.73574230,1.87975503,0.54845850,2.13097701,0.00000000,0.70579987,-4.77462525,-5.00000214
0.13000000,0.69236554,3.39360261,-2.47404097,-0.72348431,0.95338065,0.00915364,1.98918994,-4.52887150,0.00000000,-3.82822994,2.13484934,-0.12211504,2.26375390,0.00000000,0.89879359,-4.65986616,-5.00000214
0.13500000,0.66547197,3.36809123,-2.42630927,-0.72343029,0.95328417,0.00904608,1.95627365,-4.50014857,0.00000000,-3.70152760,1.89725737,-0.01789570,2.22375585,0.00000000,0.73764735,-4.53867976,-5.00000214
